resume_text,jd_text,skill_overlap,missing_skills,tfidf_similarity,match_score
json unit testing docker ruby mysql data analytics jwt auth typescript mongodb openvino visualization spark sqlite react html,tls ssl html time series scikit learn r css3 mongodb gcp figma problem solving postgresql terraform gitlab,2,12,0.06335481222196541,14.29
ai scikit-learn data cleaning statistics android tableau c++ tailwind vercel sqlite,kafka spark typescript pytorch opencv,0,5,0.0,0.0
gensim analytics kafka neural networks macos sql github mongodb etl xgboost lightgbm machine learning data engineering mysql jira,react.js onnx html sass airflow neural networks openvino jira bitbucket python express business intelligence,2,10,0.10163066979112656,16.67
html5 react tensorflow regression bash backend cross validation spark elasticsearch probability tableau gitlab node.js,aws graphql react.js design patterns django tensorflow linux penetration testing mongodb unit testing xgboost notion llm tls amazon web services,1,14,0.08904402906680958,6.67
deep learning netlify scikit-learn exploratory data analysis data cleaning c#,gpt mlops exploratory data analysis windows data pipeline frontend c# ssl dl bash powerbi ml cloudflare,2,11,0.2696767482776015,15.38
data engineering zsh collaboration dl amazon web services mongodb business intelligence kafka pytorch c++ openvino nosql c bash bert,azure kubernetes gcp time series gpt torch ai spark scrum oracle,0,10,0.0,0.0
json php jupyter llm ios etl agile typescript c++,data visualization probability json docker rest devops react xgboost api etl hadoop,2,9,0.11521554337793123,18.18
power bi github big data gitlab mongodb mysql statistics keras dart,gitlab nltk redis c++ github expo langchain nlp,2,6,0.13049436152984825,25.0
nlp etl bdd agile css java,ubuntu redis business intelligence expo aws sqlite netlify docker terraform react,0,10,0.0,0.0
node.js integration testing onnx express sql jwt ruby matlab html5 mysql time series snowflake dl react.js owasp,langchain jupyter bash tensorflow mern react.js ai deep learning confluence gcp calculus business intelligence,1,11,0.09424785783712511,8.33
data pipeline sqlite react.js bitbucket calculus nlp scrum graphql,natural language processing zsh confluence redis data cleaning penetration testing github llm spring boot dl numpy notion,0,12,0.040413945867519264,0.0
dbt css nlp jquery bash spring boot data science hadoop,flask cross validation data scientist tls data wrangling oop tailwind heroku json figma data pipeline kafka data engineering,0,13,0.1397076500973358,0.0
pandas cd airflow nltk kubernetes c++ flutter,kotlin bdd transformers pytorch bert,0,5,0.0,0.0
mysql model evaluation redis keras vercel tdd gitlab sql transformers neural networks slack machine learning project management java,visualization react.js react native xml github html5 css3 pytorch time series opencv docker windows,0,12,0.0,0.0
google cloud pytorch flask tensorflow probability ansible xgboost ubuntu data science mysql hadoop encryption langchain statistics mariadb,tableau javascript oracle pandas lightgbm,0,5,0.0,0.0
netlify express colab github css azure large language model powershell sql server eda jwt design patterns next.js opencv docker,business intelligence rest kubernetes dl java oop exploratory data analysis api scikit-learn rest,0,9,0.0,0.0
data cleaning numpy python bash design patterns r slack cassandra ml css3 databricks html,time series huggingface c++ redux docker rest powershell react native,0,8,0.0,0.0
data pipeline nltk react native css3 bash tableau mongodb,angular dl mlops sql python ml,0,6,0.0,0.0
vscode gcp css mongodb github computer vision pandas css3 langchain oop analytics,torch etl r scikit learn dbt powershell github tailwind gcp github node.js,2,8,0.13477234001388522,20.0
ssl angular css jquery typescript api calculus jwt django oauth ruby python vue.js react native node.js,azure etl hive bdd next.js docker cloudflare,0,7,0.08704446792504221,0.0
php git tensorflow spring boot pandas mongodb sql server linux natural language processing cross validation rest tls nlp c++ github,big data machine learning model serving opencv jira react amazon web services encryption,0,8,0.0,0.0
azure unit testing penetration testing linux llm matlab hive backend,mysql postgresql time series power bi mysql aws tableau jquery redux cassandra jira,0,10,0.0,0.0
gpt kubernetes react css react.js natural language processing next.js computer vision git unit testing hadoop docker data wrangling react regression,express expo bootstrap node.js big data angular hive c cv netlify spring boot,0,11,0.08351258147476685,0.0
stable diffusion ruby unit testing databricks oop,github machine learning cv dart mlops kubernetes c++ ssl nlp graphql tdd postman,0,12,0.0,0.0
azure r tensorflow macos heroku java rest transformers kafka redis notion react.js oauth postgresql jupyter,full-stack c# business intelligence nlp ssl gitlab ml jwt problem solving,0,9,0.0,0.0
unit testing deep learning mysql powerbi reactjs gpt bootstrap react.js react vue.js linux kafka,tls heroku jira python exploratory data analysis c++ nltk,0,7,0.0,0.0
jwt auth javascript github c++ pytorch mlops api spark python powershell ubuntu,onnx design patterns kafka scikit learn pytorch tensorflow,1,5,0.05700655341923561,16.67
dl data cleaning rest api react.js expo mern html mysql html visualization large language model big data bootstrap keras,mern problem solving opencv heroku etl mongodb java scikit learn onnx swift design patterns statistics,1,11,0.027415158115937675,8.33
express sql server jquery numpy probability data analytics html5 pandas python,tailwind css3 probability react native gcp scikit learn penetration testing,1,6,0.050656087645095244,14.29
gcp typescript kafka docker react native sql,node.js postgresql sql server flutter css3,0,5,0.07780894359285004,0.0
mongodb pandas agile dl kafka tensorflow jwt auth cd,bash data scientist probability keras c cloudflare c++ python next.js owasp html,0,11,0.0,0.0
go dart agile problem solving azure kotlin agile html,python tableau angular matlab github hive azure sqlite,1,7,0.05700655341923561,12.5
c++ bitbucket problem solving netlify mongodb powerbi notion frontend postman hadoop computer vision nodejs postgresql,statistics computer vision power bi data scientist rest python neural networks tailwind node.js android data wrangling langchain deep learning,1,12,0.0612309433454452,7.69
lightgbm c++ c flask hive cross validation amazon web services model evaluation matplotlib tailwind etl nodejs data analysis css,nlp mongodb rest gpt oop neural networks html amazon web services agile encryption project management mern c++,2,11,0.10117859857468431,15.38
api airflow jwt tensorflow test driven development agile nodejs unit testing dbt kafka,scikit learn redux seaborn xgboost ssl angular sass django nlp tableau numpy,0,11,0.0,0.0
java html bash sass postgresql rest etl windows spring boot bert exploratory data analysis integration testing dbt rest,feature engineering c bert c++ ci,1,4,0.06121417088719625,20.0
javascript nlp json zsh onnx ci linear algebra api java git exploratory data analysis,gitlab rest api html google cloud jenkins jquery spark keras reactjs express django,0,11,0.03895194244792348,0.0
rest api tdd tensorflow computer vision vue devops numpy netlify ruby gpt amazon web services collaboration google cloud go business intelligence,oracle javascript large language model scikit learn kubernetes full-stack cross validation bash data cleaning swift macos go redis analytics pandas,1,14,0.024687308451382027,6.67
ansible opencv netlify dbt natural language processing devops llm transformers typescript communication jira,owasp express seaborn databricks aws mysql,0,6,0.0,0.0
penetration testing tdd github reactjs sql server express react spring api,tensor rt git cloudflare r react html5,1,5,0.06655924660794856,16.67
torch data analysis cross validation spring boot neural networks graphql integration testing trello bash ruby c++ node.js spark tableau,php c++ sql server pytorch aws git netlify spring boot postgresql,2,7,0.0794658730584613,22.22
git problem solving tailwind huggingface javascript pandas bash tableau ai vscode next.js sql data wrangling pytorch,expo gitlab colab opencv huggingface mongodb trello windows figma javascript,2,8,0.08428263461046563,20.0
git bash ssl kafka data scientist opencv jquery mongodb visualization postgresql bert api unit testing,problem solving css pytorch spring jquery docker windows ci node.js graphql flask analytics,1,11,0.036167215969128134,8.33
