skill_overlap,missing_skills,bert_similarity,resume_len,jd_len,skill_density,resume_skills,jd_skills,match_score,resume_text,jd_text
7,14,0.2525596022605896,18,17,0.3333333333333333,"['analytics', 'c', 'data analytics', 'docker', 'go', 'html', 'html5', 'json', 'jwt', 'jwt auth', 'ml', 'mongodb', 'mysql', 'openvino', 'r', 'react', 'ruby', 'spark', 'sql', 'sqlite', 'typescript', 'visualization']","['c', 'ci', 'css', 'css3', 'figma', 'gcp', 'git', 'gitlab', 'go', 'html', 'ml', 'mongodb', 'postgresql', 'r', 'scikit learn', 'scikit-learn', 'sql', 'ssl', 'terraform', 'time series', 'tls']",42.6,json unit testing docker ruby mysql data analytics jwt auth typescript mongodb openvino visualization spark sqlite react html,tls ssl html time series scikit learn r css3 mongodb gcp figma problem solving postgresql terraform gitlab
4,14,0.30500757694244385,18,14,0.2222222222222222,"['analytics', 'c', 'data engineering', 'etl', 'gensim', 'git', 'github', 'go', 'jira', 'kafka', 'lightgbm', 'macos', 'mongodb', 'mysql', 'neural networks', 'r', 'sql', 'xgboost']","['ai', 'airflow', 'bitbucket', 'business intelligence', 'c', 'express', 'html', 'jira', 'ml', 'neural networks', 'onnx', 'openvino', 'python', 'r', 'react', 'react.js', 'reactjs', 'sass']",41.9,gensim analytics kafka neural networks macos sql github mongodb etl xgboost lightgbm machine learning data engineering mysql jira,react.js onnx html sass airflow neural networks openvino jira bitbucket python express business intelligence
4,14,0.394567608833313,14,20,0.2222222222222222,"['backend', 'bash', 'c', 'cross validation', 'elasticsearch', 'git', 'gitlab', 'html', 'html5', 'ml', 'node.js', 'probability', 'r', 'react', 'regression', 'spark', 'tableau', 'tensorflow']","['amazon web services', 'c', 'design patterns', 'django', 'go', 'graphql', 'linux', 'llm', 'mongodb', 'notion', 'penetration testing', 'r', 'react', 'react.js', 'reactjs', 'tensorflow', 'tls', 'xgboost']",40.4,html5 react tensorflow regression bash backend cross validation spark elasticsearch probability tableau gitlab node.js,aws graphql react.js design patterns django tensorflow linux penetration testing mongodb unit testing xgboost notion llm tls amazon web services
3,11,0.48900580406188965,10,16,0.21428571428571427,"['c', 'ci', 'deep learning', 'etl', 'exploratory data analysis', 'netlify', 'r']","['bash', 'c', 'cloudflare', 'dl', 'exploratory data analysis', 'frontend', 'gpt', 'ml', 'mlops', 'power bi', 'powerbi', 'r', 'ssl', 'windows']",43.4,deep learning netlify scikit-learn exploratory data analysis data cleaning c#,gpt mlops exploratory data analysis windows data pipeline frontend c# ssl dl bash powerbi ml cloudflare
3,9,0.22338062524795532,19,11,0.25,"['amazon web services', 'bash', 'bert', 'business intelligence', 'c', 'c++', 'collaboration', 'dart', 'data engineering', 'dl', 'go', 'kafka', 'mongodb', 'nosql', 'openvino', 'pytorch', 'r', 'sql', 'torch', 'zsh']","['ai', 'azure', 'c', 'gcp', 'gpt', 'kubernetes', 'oracle', 'r', 'scrum', 'spark', 'time series', 'torch']",38.7,data engineering zsh collaboration dl amazon web services mongodb business intelligence kafka pytorch c++ openvino nosql c bash bert,azure kubernetes gcp time series gpt torch ai spark scrum oracle
4,11,0.29374152421951294,9,12,0.26666666666666666,"['agile', 'c', 'c++', 'etl', 'ios', 'json', 'jupyter', 'llm', 'php', 'r', 'typescript']","['api', 'c', 'dart', 'data visualization', 'docker', 'etl', 'hadoop', 'json', 'oop', 'probability', 'r', 'react', 'rest', 'visualization', 'xgboost']",37.7,json php jupyter llm ios etl agile typescript c++,data visualization probability json docker rest devops react xgboost api etl hadoop
5,7,0.22697344422340393,11,8,0.4166666666666667,"['big data', 'c', 'dart', 'git', 'github', 'gitlab', 'go', 'keras', 'mongodb', 'mysql', 'power bi', 'powerbi', 'r', 'sql', 'statistics']","['ai', 'c', 'c++', 'expo', 'git', 'github', 'gitlab', 'langchain', 'nlp', 'nltk', 'r', 'redis']",43.8,power bi github big data gitlab mongodb mysql statistics keras dart,gitlab nltk redis c++ github expo langchain nlp
2,12,0.16601373255252838,6,11,0.14285714285714285,"['agile', 'bdd', 'c', 'css', 'etl', 'java', 'nlp']","['aws', 'business intelligence', 'c', 'docker', 'etl', 'expo', 'netlify', 'r', 'react', 'redis', 'sql', 'sqlite', 'terraform', 'ubuntu']",23.5,nlp etl bdd agile css java,ubuntu redis business intelligence expo aws sqlite netlify docker terraform react
5,10,0.34364575147628784,17,14,0.3333333333333333,"['c', 'dl', 'express', 'html', 'html5', 'integration testing', 'jwt', 'matlab', 'ml', 'mysql', 'node.js', 'onnx', 'owasp', 'r', 'react', 'react.js', 'reactjs', 'ruby', 'snowflake', 'sql', 'time series']","['ai', 'bash', 'business intelligence', 'c', 'calculus', 'confluence', 'gcp', 'jupyter', 'langchain', 'mern', 'r', 'react', 'react.js', 'reactjs', 'tensorflow']",47.2,node.js integration testing onnx express sql jwt ruby matlab html5 mysql time series snowflake dl react.js owasp,langchain jupyter bash tensorflow mern react.js ai deep learning confluence gcp calculus business intelligence
2,13,0.21586786210536957,9,17,0.13333333333333333,"['bitbucket', 'c', 'calculus', 'dart', 'graphql', 'nlp', 'r', 'react', 'react.js', 'reactjs', 'scrum', 'sql', 'sqlite']","['c', 'confluence', 'dl', 'git', 'github', 'llm', 'natural language processing', 'notion', 'numpy', 'penetration testing', 'r', 'redis', 'spring', 'spring boot', 'zsh']",25.4,data pipeline sqlite react.js bitbucket calculus nlp scrum graphql,natural language processing zsh confluence redis data cleaning penetration testing github llm spring boot dl numpy notion
4,12,0.1498941332101822,10,18,0.25,"['bash', 'c', 'ci', 'css', 'dbt', 'hadoop', 'jquery', 'nlp', 'oop', 'r', 'spring', 'spring boot']","['ai', 'c', 'ci', 'cross validation', 'data engineering', 'data pipeline', 'data scientist', 'figma', 'flask', 'heroku', 'json', 'kafka', 'oop', 'r', 'tailwind', 'tls']",26.1,dbt css nlp jquery bash spring boot data science hadoop,flask cross validation data scientist tls data wrangling oop tailwind heroku json figma data pipeline kafka data engineering
3,19,0.08152039349079132,18,14,0.13636363636363635,"['c', 'git', 'gitlab', 'java', 'keras', 'model evaluation', 'mysql', 'neural networks', 'project management', 'r', 'redis', 'slack', 'sql', 'tdd', 'transformers', 'vercel']","['c', 'css', 'css3', 'cv', 'docker', 'git', 'github', 'html', 'html5', 'ml', 'opencv', 'pytorch', 'r', 'react', 'react native', 'react.js', 'reactjs', 'time series', 'torch', 'visualization', 'windows', 'xml']",28.2,mysql model evaluation redis keras vercel tdd gitlab sql transformers neural networks slack machine learning project management java,visualization react.js react native xml github html5 css3 pytorch time series opencv docker windows
2,9,0.18137651681900024,19,13,0.18181818181818182,"['azure', 'c', 'colab', 'css', 'cv', 'design patterns', 'docker', 'eda', 'etl', 'express', 'git', 'github', 'jwt', 'large language model', 'netlify', 'next.js', 'opencv', 'powershell', 'r', 'sql', 'sql server']","['api', 'business intelligence', 'c', 'ci', 'dl', 'exploratory data analysis', 'java', 'kubernetes', 'oop', 'r', 'rest']",34.5,netlify express colab github css azure large language model powershell sql server eda jwt design patterns next.js opencv docker,business intelligence rest kubernetes dl java oop exploratory data analysis api scikit-learn rest
2,10,0.16877534985542297,14,10,0.16666666666666666,"['bash', 'c', 'cassandra', 'css', 'css3', 'dart', 'databricks', 'design patterns', 'html', 'html5', 'ml', 'numpy', 'python', 'r', 'slack']","['c', 'c++', 'docker', 'hive', 'huggingface', 'powershell', 'r', 'react', 'react native', 'redux', 'rest', 'time series']",33.4,data cleaning numpy python bash design patterns r slack cassandra ml css3 databricks html,time series huggingface c++ redux docker rest powershell react native
1,5,0.19499105215072632,9,6,0.16666666666666666,"['bash', 'c', 'css', 'css3', 'dart', 'go', 'mongodb', 'nltk', 'r', 'react', 'react native', 'tableau']","['angular', 'dl', 'ml', 'python', 'r', 'sql']",34.7,data pipeline nltk react native css3 bash tableau mongodb,angular dl mlops sql python ml
6,9,0.41335102915763855,12,12,0.4,"['ai', 'analytics', 'c', 'computer vision', 'css', 'css3', 'gcp', 'git', 'github', 'go', 'langchain', 'mongodb', 'oop', 'r', 'vscode']","['ai', 'c', 'ci', 'dbt', 'etl', 'gcp', 'git', 'github', 'node.js', 'powershell', 'r', 'scikit learn', 'scikit-learn', 'tailwind', 'torch']",52.7,vscode gcp css mongodb github computer vision pandas css3 langchain oop analytics,torch etl r scikit learn dbt powershell github tailwind gcp github node.js
